title,title_original,title_english,title_japanese,merged_titles,n_entries_merged,synopsis,genres,themes,score,episodes,aired,studios,composer,composer_source_url,features,mood,mood_method,imdb_review_url,artwork,mal_id,mal_url,artwork_url,mal_title_matched,mal_match_score
Link Click: Bridon Arc,Shiguang Dailiren: Yingdu Pian,Link Click: Bridon Arc,時光代理人 英都篇,Shiguang Dailiren: Yingdu Pian,1,"Lu Guang loses everything when a mysterious man bursts into the photo studio that he is renting with his close friend Cheng Xiaoshi. The man, who comes to punish the members at the studio for playing with time, murders both Qiao Ling and Cheng Xiaoshi in cold blood. However, Lu Guang inherits his friend's power to go back in time and decides to save everyone from their grim fate.  Now in the past, Lu Guang travels to Bridon to help Cheng Xiaoshi investigate his father's whereabouts; however, he discovers an uncanny series of small disparities that cause the situation to spiral into complete uncertainty. Suddenly unable to rely on his ability to predict the future, Lu Guang must invent a new strategy to foil the plans of the man who took everything from him.  [Written by MAL Rewrite]",Drama,Adult Cast | Super Power | Time Travel,8.3,6,2024,CMC Media,,,,"Perfect, beautiful — viewers describe it as the perfect setup for a major arc",AniList review synthesis,,,56752,https://myanimelist.net/anime/56752,https://myanimelist.net/images/anime/1496/147189l.jpg,Shiguang Dailiren: Yingdu Pian,1.0
Natsume's Book of Friends,Natsume Yuujinchou,Natsume's Book of Friends,夏目友人帳,Natsume Yuujinchou,1,"Due to an unusual ability to see strange creatures called youkai, Takashi Natsume has never fit in. Passed around from one foster home to another, he was left isolated and lonely. Over time, he has accepted that no one would ever believe him and has closed himself off to his current caretakers and classmates.  When Natsume accidentally breaks an intangible barrier, he frees Madara—a mighty spirit in the form of a lucky cat. Madara notices that Natsume bears a remarkable resemblance to his late grandmother Reiko Natsume, an outcast girl who became known across the youkai world for creating the Book of Friends. It is now in Natsume's possession, along with its power to call upon the written names of the youkai Reiko had defeated.   With no interest in its powers, Natsume decides to keep the book for the sake of his grandmother's memories and to protect it from scheming youkai. Therefore, he makes a deal with Madara: he will hand him the book once his time is up, and in turn, Madara will act as Natsume's unofficial bodyguard, nicknamed Nyanko-sensei. With his newfound goal of freeing those Reiko had sealed, Natsume's relationship with both youkai and humans slowly begins to improve.  [Written by MAL Rewrite]",Slice of Life | Supernatural | Shoujo,Iyashikei | Mythology,8.3,13,2008,Brain's Base,Makoto Yoshimori,,,"Emotionally, uplifting — viewers describe it as the Importance of Impermanence in Natsume’s Book of Friends",AniList review synthesis,,,4081,https://myanimelist.net/anime/4081,https://myanimelist.net/images/anime/1681/108439l.jpg,Natsume Yuujinchou,1.0
Initial D Final Stage,Initial D Final Stage,,頭文字 D Final Stage,Initial D Final Stage,1,"In the final match against the Kanagawa street racing team Sidewinder, Project D street racer Takumi Fujiwara is faced with a surprising challenger: Shinji Inui, a 17-year-old high school student. Beginning to drive at a very young age, Shinji is not only familiar with the mountain pass where the race is taking place, but he also drives a Toyota AE86—the same car model Takumi uses.  Initially reluctant to participate due to a lack of enthusiasm, Shinji becomes motivated after witnessing the fiery battle between Keisuke Takahashi and Gou Houjou. Undefeated in his home course known as the Tsubaki Line, Shinji might prove to be Takumi's most formidable opponent yet.  [Written by MAL Rewrite]",Action | Drama | Seinen,Racing,8.3,4,2014,SynergySP,,,,"— viewers describe it as “Holy shit did those cars just fuck?”, or a look at the expression of emotion in Initial D",AniList review synthesis,,,22507,https://myanimelist.net/anime/22507,https://myanimelist.net/images/anime/1404/101364l.jpg,Initial D Final Stage,1.0
Tales of Herding Gods,Mushen Ji,Tales of Herding Gods,牧神记,Mushen Ji,1,"In the Disabled Elderly Village, there live nine elderly people with unpredictable origins and the young man Qin Mu they raised. One day, the cows that Qin Mu was responsible for grazing began to speak human words. From then on, Qin Mu became more aware of the dangers and beauty of Daxu, a land abandoned by gods: demons descended with darkness, divine bones danced in the ruins, and dragon bones protected their young, a giant ship that drags the sun... No matter what kind of danger he faces, Qin Mu is fearless. He has integrated the skills passed down by the Nine Elders and vowed to carve out a world with his unparalleled hegemony.   (Source: Bilibili, translated)",Action | Adventure | Fantasy,Historical | Martial Arts,8.29,,2024,Sparkly Key Animation Studio,,,,"Notable for: cultivation, martial arts, found family, fugitive, mythology",AniList review synthesis,,,59953,https://myanimelist.net/anime/59953,https://myanimelist.net/images/anime/1324/150012l.jpg,Mushen Ji,1.0
Steins;Gate: Egoistic Poriomania,Steins;Gate: Oukoubakko no Poriomania,Steins;Gate: Egoistic Poriomania,シュタインズ ゲート 横行跋扈のポリオマニア,Steins;Gate: Oukoubakko no Poriomania,1,"A few months after the events of Steins;Gate, Rintarou Okabe and his group of friends are invited to tag along with their acquaintance Faris NyanNyan, who is participating in a Rai-Net battle event in the United States. There, they meet up with an old colleague: Kurisu Makise, who has been recalling fragmented memories of events that happened in the other world lines in the form of dreams. She confronts Okabe, questioning him as to whether these events—particularly the incidents between the two of them—did indeed happen.  [Written by MAL Rewrite]",Comedy | Sci-Fi,Time Travel,8.29,1,2012,White Fox,Takeshi Abo,,,"lighthearted and funny, science fiction",genre/theme synthesis,,,10863,https://myanimelist.net/anime/10863,https://myanimelist.net/images/anime/1805/123188l.jpg,Steins;Gate: Oukoubakko no Poriomania,1.0
Kuroko's Basketball 3,Kuroko no Basket 3rd Season,Kuroko's Basketball 3,黒子のバスケ,Kuroko no Basket 3rd Season,1,"Seirin prepares to face major obstacles on their path to winning the Winter Cup, including the teams each possessing a member of the Generation of Miracles. Kuroko goes head-to-head with his old teammates once more as he attempts to show them that individual skill is not the only way to play basketball. His firm belief that his form of basketball, team play, is the right way to play the sport will clash with the talents of a perfect copy and an absolute authority.  While Kuroko tries to prove that his basketball is ""right,"" he and the rest of Seirin High ultimately have one goal: to win the Winter Cup and overcome the strength of the Generation of Miracles, who have long dominated the scene of middle and high school basketball.  [Written by MAL Rewrite]",Sports | Shounen,School | Team Sports,8.29,25,2015,Production I.G,Yoshihiro Ike,,,"high-energy sports, shounen energy, school setting — Seirin prepares to face major obstacles on their path to winning the Winter Cup, including the teams each possessing a member of the Generation of Miracles.",genre/theme synthesis,,,24415,https://myanimelist.net/anime/24415,https://myanimelist.net/images/anime/4/68299l.jpg,Kuroko no Basket 3rd Season,1.0
given,Given,given,ギヴン,Given,1,"Tightly clutching his Gibson guitar, Mafuyu Satou steps out of his dark apartment to begin another day of his high school life. While taking a nap in a quiet spot on the gymnasium staircase, he has a chance encounter with fellow student Ritsuka Uenoyama, who berates him for letting his guitar's strings rust and break. Noticing Uenoyama's knowledge of the instrument, Satou pleads for him to fix it and to teach him how to play. Uenoyama eventually agrees and invites him to sit in on a jam session with his two band mates: bassist Haruki Nakayama and drummer Akihiko Kaji.      Satou's voice is strikingly beautiful, filling Uenoyama with the determination to make Satou the lead singer of the band. Though reticent at first, Satou takes the offer after an emotional meeting with an old friend. With the support of his new friends, Satou must not only learn how to play guitar, but also come to terms with the mysterious circumstances that led him to be its owner.  [Written by MAL Rewrite]",Boys Love | Drama,Music | School,8.29,11,2019,Lerche,Michiru,,,"emotionally resonant, music-driven, school setting — Tightly clutching his Gibson guitar, Mafuyu Satou steps out of his dark apartment to begin another day of his high school life.",genre/theme synthesis,,,39533,https://myanimelist.net/anime/39533,https://myanimelist.net/images/anime/1666/102238l.jpg,Given,1.0
Case Closed Movie 06: The Phantom of Baker Street,Meitantei Conan Movie 06: Baker Street no Bourei,Case Closed Movie 06: The Phantom of Baker Street,名探偵コナン ベイカー街の亡霊,Meitantei Conan Movie 06: Baker Street no Bourei,1,"The latest innovation in virtual reality gaming is set for a private showcase, with the children of Japan's elite given the opportunity to playtest it. Unfortunately, their carefree fun is cut short when a company employee is found murdered, his dying message pointing to a clue hidden within the game's historical setting.  Along with the Detective Boys and Ran Mouri, Conan Edogawa enters the game to solve this mystery and ensure the perpetrator is caught. But once they load in, an artificial intelligence named Noah's Ark imprisons them and the other children within. To escape and bring the murderer to justice, Conan and company must navigate a simulated 19th-century London and track down the infamous Jack the Ripper—with the lives of 50 innocent children depending on them.  [Written by MAL Rewrite]",Adventure | Mystery | Shounen,Detective,8.29,1,2002,TMS Entertainment,Katsuo Ono,,,"adventurous, mysterious, shounen energy — The latest innovation in virtual reality gaming is set for a private showcase, with the children of Japan's elite given the opportunity to playtest it.",genre/theme synthesis,,,1365,https://myanimelist.net/anime/1365,https://myanimelist.net/images/anime/1400/94320l.jpg,Meitantei Conan Movie 06: Baker Street no Bourei,1.0
Scissor Seven: Fragments of Memory,Wu Liuqi: Jiyi Suipian,Scissor Seven: Fragments of Memory,伍六七之记忆碎片,Wu Liuqi: Jiyi Suipian,1,"In order to find his cherished partner, Wu Liuqi returns to Xuanwu Country and faces those forgotten fragments of memory. The dusty truth brings pain and anger, but now he is no longer alone. What is the purpose of having power? This time, Wu Liuqi has to make a new choice for his life...  (Source: Official Site)",Action | Adventure | Comedy | Drama | Mystery | Sci-Fi | Supernatural,,8.27,10,2024,Sharefun Studio,,,,"action-packed, adventurous, lighthearted and funny, emotionally resonant — In order to find his cherished partner, Wu Liuqi returns to Xuanwu Country and faces those forgotten fragments of memory.",genre/theme synthesis,,,59150,https://myanimelist.net/anime/59150,https://myanimelist.net/images/anime/1787/151956l.jpg,Wu Liuqi: Jiyi Suipian,1.0
Haikyu!! The Movie: Battle of Concepts,Haikyuu!! Movie 4: Concept no Tatakai,Haikyu!! The Movie: Battle of Concepts,ハイキュー!! コンセプトの戦い,Haikyuu!! Movie 4: Concept no Tatakai,1,"The long-awaited finals of the Spring Tournament have arrived for Karasuno High School's volleyball team. The winner of the match will go on to represent all of Miyagi Prefecture at the National Tournament. However, the last challenge Karasuno must overcome is to win against Shiratorizawa Academy, the school that houses Wakatoshi Ushijima, one of Japan's top three aces. Shiratorizawa is the reigning Miyagi champion for the past three years, and Karasuno seems to have little chance at dethroning them.   When the other school's captain Ushijima insults Karasuno to their faces, freshmen duo Shouyou Hinata and Tobio Kageyama swear to defeat them and steal their spot in the nationals. Against a roster full of nationally-ranked players, the former flightless crows will have to use everything in their arsenal if they want to represent Miyagi.  [Written by MAL Rewrite]",Sports | Shounen,School | Team Sports,8.27,1,2017,Production I.G,,,,"high-energy sports, shounen energy, school setting — The long-awaited finals of the Spring Tournament have arrived for Karasuno High School's volleyball team.",genre/theme synthesis,,,35111,https://myanimelist.net/anime/35111,https://myanimelist.net/images/anime/1854/147254l.jpg,Haikyuu!! Movie 4: Concept no Tatakai,1.0
